L342R27-2,tumour,60273,3R:0-3000000,200,16.66,0.47,-1.078,9.96E-63,***
L342R28-2,normal,136620,3R:0-3000000,200,33.12,0.47,-1.078,9.96E-63,***
L342R29-2,tumour,35865,3R:0-3000000,200,7.09,0.36,-1.458,4.39E-64,***
L342R30-2,normal,116632,3R:0-3000000,200,18.12,0.36,-1.458,4.39E-64,***
L342R31-2,tumour,145995,3R:0-3000000,200,60.52,1.3,0.377,1.06E-16,***
L342R32-2,normal,173908,3R:0-3000000,200,47.62,1.3,0.377,1.06E-16,***
L342R33-2,tumour,151736,3R:0-3000000,200,32.61,0.48,-1.047,7.68E-59,***
L342R34-2,normal,156662,3R:0-3000000,200,65.82,0.48,-1.047,7.68E-59,***
L342R35-2,tumour,71332,3R:0-3000000,200,26.05,0.73,-0.454,1.51E-28,***
L342R36-2,normal,133628,3R:0-3000000,200,37.1,0.73,-0.454,1.51E-28,***
L342R31-3,tumour,161711,3R:0-3000000,200,52.7,1.03,0.046,0.379362257,-
L342R32-3,normal,173908,3R:0-3000000,200,51.26,1.03,0.046,0.379362257,-
D106R1 ,tumour,64268,3R:0-3000000,200,26.32,1.03,0.038,0.315112972,-
D106R2 ,normal,62082,3R:0-3000000,200,27.16,1.03,0.038,0.315112972,-
D106R3 ,tumour,85971,3R:0-3000000,200,38.63,1.32,0.397,3.49E-07,***
D106R4 ,normal,80210,3R:0-3000000,200,31.99,1.32,0.397,3.49E-07,***
D106R5 ,tumour,61175,3R:0-3000000,200,10.52,0.48,-1.056,1.58E-57,***
D106R6 ,normal,49257,3R:0-3000000,200,24.73,0.48,-1.056,1.58E-57,-
D106R7 ,tumour,41038,3R:0-3000000,200,14.48,1.02,0.034,0.050211031,-
D106R8 ,normal,63765,3R:0-3000000,200,15.8,1.02,0.034,0.050211031,***
D106R9 ,tumour,49469,3R:0-3000000,200,10.81,0.67,-0.568,1.18E-29,***
D106R10 ,normal,75594,3R:0-3000000,200,19.49,0.67,-0.568,1.18E-29,***
D106R11 ,tumour,79563,3R:0-3000000,200,27.31,0.92,-0.124,8.78E-12,***
D106R12 ,normal,73021,3R:0-3000000,200,34.35,0.92,-0.124,8.78E-12,***
D106R13 ,tumour,71265,3R:0-3000000,200,18.34,0.76,-0.403,5.90E-23,***
D106R14 ,normal,67628,3R:0-3000000,200,26.55,0.76,-0.403,5.90E-23,***
D106R15 ,tumour,76020,3R:0-3000000,200,26.2,0.91,-0.14,1.57E-08,***
D106R16 ,normal,73349,3R:0-3000000,200,32.26,0.91,-0.14,1.57E-08,-
D106R17 ,tumour,60526,3R:0-3000000,200,26.84,8.25,3.044,0.089819232,-
D106R18 ,normal,52791,3R:0-3000000,200,25.23,8.25,3.044,0.089819232,***
D106R19 ,tumour,61028,3R:0-3000000,200,25.7,70.11,6.132,9.32E-26,***
D106R20 ,normal,56499,3R:0-3000000,200,16.49,70.11,6.132,9.32E-26,***
D106R21 ,tumour,20618,3R:0-3000000,200,5.09,0.74,-0.43,1.58E-15,***
D106R22 ,normal,73386,3R:0-3000000,200,7.5,0.74,-0.43,1.58E-15,-
D106R23 ,tumour,67889,3R:0-3000000,200,32.56,1,0.002,0.409346381,-
D106R24 ,normal,74368,3R:0-3000000,200,33.46,1,0.002,0.409346381,***
D106R25 ,tumour,45663,3R:0-3000000,200,18.85,0.76,-0.399,6.91E-17,***
D106R26 ,normal,106968,3R:0-3000000,200,28.79,0.76,-0.399,6.91E-17,-
D106R27 ,tumour,43134,3R:0-3000000,200,18.87,1.04,0.059,0.316517822,-
D106R28 ,normal,96508,3R:0-3000000,200,19.52,1.04,0.059,0.316517822,***
D106R29 ,tumour,51016,3R:0-3000000,200,30.1,1.53,0.612,3.26E-20,***
D106R30 ,normal,61020,3R:0-3000000,200,21.78,1.53,0.612,3.26E-20,***
D106R31 ,tumour,72329,3R:0-3000000,200,30.17,0.83,-0.272,6.32E-12,***
D106R32 ,normal,72894,3R:0-3000000,200,38.26,0.83,-0.272,6.32E-12,***
D106R33 ,tumour,48900,3R:0-3000000,200,18.09,0.75,-0.421,1.43E-20,***
D106R34 ,normal,86857,3R:0-3000000,200,25.42,0.75,-0.421,1.43E-20,gut_25_days_pool2,tumour,1869927,3R:0-3000000,20,240.21,0.32,-1.627,3.011077947186854e-14,***
head_25_days_pool2,normal,2732460,3R:0-3000000,20,739.47,0.32,-1.627,3.011077947186854e-14,***
gut_25_days_pool2,tumour,1869927,3R:0-3000000,100,240.0,0.34,-1.576,8.46751970216333e-76,***
head_25_days_pool2,normal,2732460,3R:0-3000000,100,710.88,0.34,-1.576,8.46751970216333e-76,***
D197R01,tumour,50756300,3R:0-3000000,200,22804.45,1.0,0.002,0.9871865136394569,-
D197R02,normal,59015857,3R:0-3000000,200,22796.66,1.0,0.002,0.9871865136394569,-
D197R01,tumour,50756300,3R:0-3000000,50,21746.47,1.01,0.02,0.8282234177664624,-
D197R02,normal,59015857,3R:0-3000000,50,21501.82,1.01,0.02,0.8282234177664624,-
D197R03,tumour,61343529,3R:0-3000000,50,19308.24,0.8,-0.329,4.687443679782515e-07,***
D197R04,normal,52948398,3R:0-3000000,50,24660.33,0.8,-0.329,4.687443679782515e-07,***
D197R05,tumour,58125901,3R:0-3000000,50,19983.57,0.88,-0.192,0.005411094229060839,*
D197R06,normal,30358107,3R:0-3000000,50,23108.0,0.88,-0.192,0.005411094229060839,*
D197R07,tumour,49249066,3R:0-3000000,50,22743.94,1.01,0.008,0.8726422798947815,-
D197R08,normal,59748070,3R:0-3000000,50,22555.9,1.01,0.008,0.8726422798947815,-
D197R09,tumour,47881873,3R:0-3000000,50,17204.41,0.85,-0.234,0.0012693421017805167,*
D197R10,normal,43455579,3R:0-3000000,50,20209.84,0.85,-0.234,0.0012693421017805167,*
D197R11,tumour,39784531,3R:0-3000000,50,10202.8,0.6,-0.731,4.773749589484979e-15,***
D197R12,normal,66089175,3R:0-3000000,50,17136.04,0.6,-0.731,4.773749589484979e-15,***
D197R13,tumour,41618961,3R:0-3000000,50,7345.51,0.44,-1.189,3.799926655012049e-32,***
D197R14,normal,53066548,3R:0-3000000,50,16830.98,0.44,-1.189,3.799926655012049e-32,***
D197R15,tumour,19657634,3R:0-3000000,50,3188.98,0.47,-1.099,1.427071151766656e-21,***
D197R16,normal,60723922,3R:0-3000000,50,7122.43,0.47,-1.099,1.427071151766656e-21,***
D106R1,tumour,28052558,3R:0-3000000,50,9759.27,0.97,-0.044,0.43201782022025736,-
D106R2,normal,35470734,3R:0-3000000,50,10108.14,0.97,-0.044,0.43201782022025736,-
D106R3,tumour,70707926,3R:0-3000000,50,29714.67,1.27,0.35,3.3932392897538565e-08,***
D106R4,normal,25769070,3R:0-3000000,50,23282.22,1.27,0.35,3.3932392897538565e-08,***
D106R5,tumour,29430297,3R:0-3000000,50,4277.1,0.44,-1.181,1.4823772174450153e-33,***
D106R6,normal,35877059,3R:0-3000000,50,9754.82,0.44,-1.181,1.4823772174450153e-33,***
D106R7,tumour,27721018,3R:0-3000000,50,7707.45,0.88,-0.179,0.008710806409388708,*
D106R8,normal,32643440,3R:0-3000000,50,8752.53,0.88,-0.179,0.008710806409388708,*
D106R9,tumour,21615343,3R:0-3000000,50,4722.04,0.66,-0.609,2.4341997077168387e-12,***
D106R10,normal,33864156,3R:0-3000000,50,7211.31,0.66,-0.609,2.4341997077168387e-12,***
D106R11,tumour,57391460,3R:0-3000000,50,16739.31,0.76,-0.404,1.430333937780394e-07,***
D106R12,normal,54307178,3R:0-3000000,50,22133.0,0.76,-0.404,1.430333937780394e-07,***
D106R13,tumour,52600507,3R:0-3000000,50,14655.43,0.74,-0.439,1.9996909177664002e-11,***
D106R14,normal,48686164,3R:0-3000000,50,20109.0,0.74,-0.439,1.9996909177664002e-11,***
D106R15,tumour,63558341,3R:0-3000000,50,19595.73,0.87,-0.207,0.00970070708158531,*
D106R16,normal,47201734,3R:0-3000000,50,22607.33,0.87,-0.207,0.00970070708158531,*
D106R17,tumour,46076975,3R:0-3000000,50,18124.82,1.15,0.197,0.024146067658433728,-
D106R18,normal,34195916,3R:0-3000000,50,15905.63,1.15,0.197,0.024146067658433728,-
D106R19,tumour,44624000,3R:0-3000000,50,16808.33,1.55,0.634,6.511652140095862e-13,***
D106R20,normal,17961786,3R:0-3000000,50,10809.86,1.55,0.634,6.511652140095862e-13,***
D106R21,tumour,8599853,3R:0-3000000,50,2179.43,0.74,-0.443,1.0665315249622925e-08,***
D106R22,normal,43739626,3R:0-3000000,50,3002.31,0.74,-0.443,1.0665315249622925e-08,***
D106R23,tumour,55395510,3R:0-3000000,50,23556.78,1.0,0.006,0.9783314175723473,-
